Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,174,423,-1.9,"AVAH, ATRC, ATAI, ANGO, AMLX"
Financial Services,54,234,-2.5,"CCAQ, CAPN, COPL, CHAR, CEPO"
Healthcare,42,64,-1.0,"RVTY, BIIB, PFE, OGN, MYO"
Industrials,12,44,-2.5,"TBI, SB, MG, ECO, DAC"
Energy,10,20,-1.0,"TDW, SM, PR, NAT, LPG"
Consumer Cyclical,8,26,-2.4,"JILL, CART, ABNB, MGA, HZO"
Technology,7,16,-2.0,"CHYM, SAIC, FLYW, MLAB, SLAB"
Real Estate,7,25,-2.5,"UMH, NLY, LXP, JLL, EFC"
Communication Services,6,19,-2.0,"BATRK, RDI, ZD, VZ, BATRA"
Basic Materials,4,6,-1.4,"VHI, MAKO, SXT, SXC, FCX"
Consumer Defensive,3,7,-2.2,"TGT, KO, SENEA, SPB, ACU"
Utilities,3,12,-2.5,"AWR, YORW, WTRG, TXNM, AWK"
