Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,251,512,-1.6,"ACMR, VGM, ABSI, WTS, ACHC"
Financial Services,189,315,-1.1,"ACT, MCBS, MBWM, MACI, BACC"
Healthcare,43,66,-1.2,"ACRS, WST, ELMD, LQDA, LNTH"
Industrials,31,61,-1.6,"AAL, PRG, GHM, GFF, GEV"
Technology,31,41,-0.8,"VPG, BELFB, BELFA, APH, VICR"
Consumer Cyclical,13,35,-2.1,"HBB, AMBP, XMAX, LEVI, FNKO"
Communication Services,11,16,-1.0,"ZD, LYV, PSO, BATRK, MSGE"
Real Estate,11,52,-2.2,"AOMR, LAMR, WELL, FVR, NREF"
Basic Materials,7,7,-0.5,"KALU, ODC, SSD, CTVA, SXT"
Utilities,4,21,-2.2,"AWR, EVRG, IDA, PNW, LNT"
Consumer Defensive,3,15,-2.4,"PSMT, PFGC, SENEA, MNST, CENTA"
Energy,1,7,-2.2,"WTTR, DK, NGS, WKC, DTM"
