Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,145,388,-2.0,"ALDF, ZETA, PAII, PAYC, OOMA"
Financial Services,102,255,-2.0,"OPY, UNM, RAC, RJF, RNR"
Healthcare,20,44,-1.9,"OGN, BIIB, IQV, CAH, SOLV"
Industrials,12,25,-1.7,"FLR, ECO, DAC, CIX, ATKR"
Energy,9,17,-1.4,"NAT, LPG, INSW, PBF, HPK"
Technology,6,19,-1.9,"RSKD, CHYM, SLAB, CRM, HPQ"
Communication Services,5,11,-1.8,"VZ, ZD, NWSA, ROKU, IDT"
Consumer Cyclical,3,12,-2.2,"CART, GBTG, HZO, PAG, CLAR"
Real Estate,3,14,-2.8,"CHMI, MRP, LXP, EFC, PDM"
Utilities,3,9,-1.7,"WTRG, AWK, YORW, TXNM, AWR"
Consumer Defensive,2,7,-2.0,"HNST, ACU, SENEA, CCEP, SPB"
Basic Materials,1,6,-2.8,"SXT, CTVA, GGB, VHI, SXC"
