Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,112,316,-2.2,"AFRI, ZETA, YCY, ALDF, HCWC"
Financial Services,55,167,-2.2,"HTGC, CAPN, CCAQ, CPBI, CHAR"
Healthcare,10,36,-2.4,"APGE, MCTA, PFE, EOLS, OGN"
Energy,9,19,-1.4,"SM, SMC, PSX, INSW, PBF"
Industrials,8,20,-1.9,"ECO, DE, CIX, SB, ATKR"
Technology,5,15,-2.1,"HPQ, DHX, MSI, RAMP, SLAB"
Consumer Cyclical,2,9,-2.6,"GBTG, HZO, JRSH, PAG, CZR"
Communication Services,2,11,-2.3,"VZ, TJGC, IDT, ZD, NWSA"
Real Estate,2,14,-3.2,"CHMI, LXP, AHR, EFC, DEA"
Consumer Defensive,2,9,-3.2,"SENEA, ACU, HNST, TGT, CCEP"
Utilities,1,9,-2.7,"WTRG, YORW, TXNM, AWR, AWK"
Basic Materials,0,4,-2.3,"SXC, SXT, CTVA, VHI"
