Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,197,400,-1.6,"AMLX, ALNT, TDAC, SZZL, CASS"
Financial Services,124,301,-1.7,"CAPN, ATLO, UNTY, UFCS, SKWD"
Industrials,26,51,-1.3,"ETN, URI, UHAL, GIC, GFF"
Healthcare,13,40,-2.0,"BFRI, CADL, BLFS, RVMD, CLYM"
Consumer Cyclical,10,36,-2.3,"SGC, ROST, UFI, XMAX, HBB"
Technology,6,27,-2.5,"SAIC, DGII, CNXN, AVT, RAMP"
Basic Materials,6,10,-1.3,"KOP, AVNT, SXC, MAKO, RS"
Communication Services,3,13,-2.5,"ROKU, NEXN, CNK, GSAT, RDI"
Real Estate,3,23,-3.0,"NREF, SKYH, LXP, PSA, EXR"
Consumer Defensive,2,10,-1.9,"CENTA, HNST, TGT, CHD, PFGC"
Energy,1,4,-2.6,"FTK, INSW, PSX, NAT"
Utilities,0,6,-3.4,"ENIC, TXNM, WTRG, AWR, NWE"
