Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,143,381,-2.0,"ALOT, ANSC, XNCR, WERN, AAMI"
Financial Services,85,305,-2.1,"WASH, CAPN, TRIN, BANC, DRDB"
Real Estate,32,53,-1.2,"ALX, AHR, BNL, SKT, CBL"
Healthcare,19,46,-1.8,"AMRX, SOPH, DNTH, PBYI, CVS"
Energy,8,12,-0.9,"DK, PBF, PSX, FTK, INSW"
Industrials,7,36,-2.2,"XMTR, CHRW, RXO, SB, ECO"
Technology,7,16,-2.1,"SCSC, CNXN, KARO, RAMP, NATL"
Consumer Cyclical,7,28,-2.4,"SGHC, TMHC, GIII, MGA, BURL"
Consumer Defensive,2,10,-3.1,"SPB, FMX, TGT, CENTA, KO"
Communication Services,2,11,-2.8,"ROKU, EA, SCHL, MSGS, RSVR"
Basic Materials,2,2,-0.2,"KOP, CTVA"
Utilities,1,12,-2.9,"EIX, NJR, NWE, TXNM, OGE"
