Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Financial Services,216,329,-1.0,"ACNB, SFNC, SIGI, RIOT, AMAL"
Unknown,165,336,-1.7,"VIRT, AFBI, SEPN, RFAI, WLYB"
Healthcare,32,55,-1.2,"SLDB, MGNX, MBX, TBRG, CLYM"
Real Estate,18,54,-1.7,"OLP, LXP, EQIX, IVT, IRM"
Consumer Cyclical,9,39,-2.4,"LZB, HOFT, INTG, JRSH, XMAX"
Industrials,8,44,-2.5,"WNC, POWW, UAL, ECO, GTLS"
Technology,7,26,-2.4,"RAL, USIO, CWAN, WYFI, RAMP"
Communication Services,6,14,-2.1,"MSGE, EVC, BATRK, BATRA, EA"
Consumer Defensive,6,14,-1.8,"PSMT, ACU, MNST, CENTA, TGT"
Utilities,5,21,-2.1,"PNW, EVRG, LNT, DTE, CNP"
Energy,4,9,-1.4,"WKC, NGS, NAT, INSW, AROC"
Basic Materials,0,5,-3.5,"LIN, RS, KOP, ODC, SXT"
