Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,217,442,-1.7,"ZWS, ADAM, ADPT, XYZ, WT"
Financial Services,189,307,-1.2,"PMTS, POLE, PROV, QCRH, PDLB"
Industrials,25,51,-1.6,"PESI, PLPC, SWK, CVV, HEI"
Consumer Cyclical,23,41,-1.5,"PKG, MGA, CROX, M, JILL"
Healthcare,23,36,-1.1,"ACRS, PDEX, BLFS, CADL, OGN"
Technology,17,32,-1.6,"NET, CNXN, DDOG, PANW, GRMN"
Communication Services,7,15,-1.8,"ROKU, CNK, ZD, TDAY, EA"
Basic Materials,5,6,-0.5,"SXT, RS, NUE, KOP, GGB"
Real Estate,5,32,-2.8,"SKYH, JLL, DEA, NREF, LXP"
Consumer Defensive,2,13,-2.7,"SPB, TGT, CHD, GHC, BUD"
Energy,2,7,-2.2,"PBT, FTK, DK, WKC, PSX"
Utilities,0,7,-4.0,"TXNM, ENIC, WTRG, AWR, NJR"
