Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,235,433,-1.5,"ZETA, VLO, AVAH, ATRO, ATAI"
Financial Services,175,303,-1.2,"AACB, USB, UNM, ATLO, TY"
Healthcare,19,57,-2.2,"BLFS, CADL, OGN, CLYM, TALK"
Technology,18,37,-1.6,"AUDC, RSKD, RBRK, P, NET"
Industrials,17,56,-2.1,"MTW, KFY, GPN, FDX, CSTE"
Communication Services,9,16,-1.1,"BATRK, OMC, ZD, ROKU, LLYVA"
Consumer Cyclical,9,31,-2.2,"ABNB, HBB, EXPE, AMBP, PKG"
Energy,7,14,-1.6,"XPRO, SMC, PSX, PBF, DK"
Real Estate,7,26,-2.4,"UMH, EFC, CHMI, NLY, PSA"
Consumer Defensive,4,10,-2.4,"TGT, ACU, SENEA, SPB, KO"
Basic Materials,3,8,-2.0,"AVNT, RS, NUE, SXT, MAKO"
Utilities,1,9,-2.5,"AWR, WTRG, YORW, NWE, BKH"
