Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,118,346,-2.0,"UTZ, ANGO, ANIK, OPHC, PARR"
Financial Services,109,275,-1.7,"ASRV, RGT, PB, PNFP, NWG"
Energy,6,14,-2.1,"INSW, LPG, DK, EOG, PSX"
Healthcare,6,31,-3.0,"ELVN, OGN, APGE, DVA, TALK"
Technology,5,18,-2.1,"DHX, CNXN, KARO, RAMP, FIVN"
Consumer Cyclical,5,28,-2.7,"NDLS, ROST, GBTG, ABNB, BURL"
Industrials,4,33,-2.8,"ECO, DAC, VVX, SWK, SMHI"
Communication Services,3,13,-2.2,"CNK, EA, ROKU, GSAT, TDAY"
Real Estate,2,41,-3.3,"NREF, LXP, JLL, PSA, CBL"
Consumer Defensive,2,11,-2.2,"BUD, TGT, KO, PFGC, SPB"
Basic Materials,1,5,-2.5,"GGB, RS, SXT, NUE, KOP"
Utilities,0,6,-3.7,"TXNM, WTRG, NJR, SO, AWR"
