Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
CCG,Cheche Group Inc. - Class A Ordinary Shares,14.04,100.0,-8.8,4.0,1.84,1.62,15.39,0.37
PRPL,"Purple Innovation, Inc. - Common Stock",9.58,99.9,-1.7,2.56,1.28,1.15,9.75,0.29
OPAD,Offerpad Solutions Inc. Class A Common Stock,4.79,99.7,-23.1,4.33,2.03,2.0,6.23,0.58
ERAS,"Erasca, Inc. - Common Stock",18.41,99.7,-18.1,16.66,14.09,11.3,22.47,1.4
FBRX,"Forte Biosciences, Inc.  - Common Stock",76.79,99.6,-0.2,37.34,31.17,28.01,76.98,10.18
CLYM,"Climb Bio, Inc. - Common Stock",14.0,99.6,0.0,12.32,8.94,7.34,14.0,1.61
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",12.01,99.6,-22.3,10.82,6.88,5.64,15.45,1.39
EVC,Entravision Communications Corporation Common Stock,11.97,99.5,-11.2,10.75,6.2,5.31,13.48,1.91
ANTX,"AN2 Therapeutics, Inc. - Common Stock",5.93,99.5,-2.5,4.79,3.51,2.92,6.08,1.03
MAAS,Maase Inc. - Class A Ordinary Shares,18.75,99.5,-11.7,15.68,9.88,8.44,21.24,2.86
ATEX,Anterix Inc. - Common Stock,99.26,99.4,-8.3,89.07,55.18,46.53,108.21,17.99
SIF,"SIFCO Industries, Inc. Common Stock",28.09,99.4,-0.5,23.1,16.13,13.74,28.23,5.05
DMRA,"Damora Therapeutics, Inc. - Ordinary Shares",29.92,99.4,-12.4,26.43,25.82,24.24,34.14,2.58
BBGI,"Beasley Broadcast Group, Inc. - Class A Common Stock",22.11,99.4,-16.6,21.99,13.1,11.11,26.51,3.14
STTK,"Shattuck Labs, Inc. - Common Stock",7.27,99.3,-8.2,6.19,5.77,4.95,7.92,0.74
SYRE,"Spyre Therapeutics, Inc. - Common Stock",104.91,99.3,-0.0,90.58,63.17,54.39,104.94,14.82
ORKA,"Oruka Therapeutics, Inc. - Common Stock",98.82,99.3,0.0,81.77,58.03,50.77,98.82,13.05
BFLY,"Butterfly Network, Inc. Class A Common Stock",8.83,99.2,-0.9,6.92,5.07,4.51,8.91,1.33
AEHR,Aehr Test Systems - Common Stock,103.07,99.2,-11.6,91.5,65.52,54.92,116.58,17.38
LITE,Lumentum Holdings Inc. - Common Stock,890.17,99.2,-15.5,817.97,729.56,618.06,1053.09,111.13
ANRO,"Alto Neuroscience, Inc. Common Stock",28.67,99.1,0.0,24.73,21.98,20.08,28.67,3.06
APPS,"Digital Turbine, Inc. - Common Stock",14.34,99.1,0.0,9.88,6.02,5.86,14.34,2.82
ALMS,Alumis Inc. - Common Stock,27.6,99.1,-8.9,25.48,24.81,20.53,30.3,3.95
YARW,"Yarrow Bioscience, Inc. - Common Stock",41.43,99.0,-0.5,22.65,18.98,17.11,41.63,8.1
TXG,"10x Genomics, Inc. - Common Stock",52.03,99.0,0.0,38.94,27.02,24.25,52.03,11.34
BLZE,"Backblaze, Inc. - Common Stock",18.82,99.0,-4.9,12.53,7.28,6.99,19.79,3.31
TWST,Twist Bioscience Corporation - Common Stock,115.67,98.9,0.0,88.27,62.27,54.51,115.67,24.16
MBX,"MBX Biosciences, Inc. - Common Stock",67.82,98.9,-4.1,51.45,39.47,36.3,70.7,9.74
DELL,Dell Technologies Inc. Class C Common Stock ,453.77,98.9,-2.9,415.48,249.16,221.08,467.27,110.54
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,7.8,98.9,0.0,5.18,3.78,3.39,7.8,1.47
RLAY,"Relay Therapeutics, Inc. - Common Stock",19.77,98.8,-4.7,17.58,13.09,11.68,20.75,3.22
LQDA,Liquidia Corporation - Common Stock,90.22,98.8,0.0,75.94,52.1,46.56,90.22,19.21
RVMD,"Revolution Medicines, Inc. - Common Stock",205.15,98.8,0.0,175.86,135.29,119.05,205.15,34.7
CDNA,"CareDx, Inc. - Common Stock",46.69,98.7,-2.4,30.82,23.22,21.74,47.85,11.57
VSXY,Victorias Secret & Co. Common Stock ,98.54,98.7,0.0,80.77,62.68,57.65,98.54,21.12
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",108.92,98.7,-3.3,94.85,78.09,68.48,112.64,18.76
SLGL,Sol-Gel Technologies Ltd. - Ordinary Shares,88.0,98.6,-10.2,77.41,74.17,65.29,97.97,14.61
MKDW,MKDWELL Tech Inc. - Ordinary Shares,11.8,98.5,-1.7,10.55,6.79,6.53,12.0,1.95
NDLS,Noodles & Company - Class A Common Stock,17.95,98.5,-3.6,14.03,9.86,8.85,18.62,3.9
ROMA,Roma Green Finance Limited - Class A Ordinary Shares,8.9,98.5,-13.9,8.35,5.72,4.93,10.34,1.3
DRTS,Alpha Tau Medical Ltd. - Ordinary Shares,13.14,98.4,-3.2,11.46,8.9,7.74,13.57,3.06
ALOT,"AstroNova, Inc. - Common Stock",28.94,98.4,-0.0,25.04,15.51,13.72,28.95,7.01
PRLD,Prelude Therapeutics Incorporated - Common Stock,4.9,98.4,-11.2,4.36,3.68,3.2,5.52,0.83
PLSE,"Pulse Biosciences, Inc - Common Stock",42.41,98.3,0.0,28.91,22.93,20.89,42.41,12.66
RLYB,Rallybio Corporation - Common Stock,16.16,98.3,-4.4,15.99,10.99,9.59,16.91,3.98
SAIH,SAIHEAT Limited - Class A Ordinary Shares,20.82,98.3,-3.2,13.5,10.44,9.86,21.5,5.65
PACS,"PACS Group, Inc. Common Stock",48.44,98.2,0.0,41.62,37.98,34.59,48.44,7.71
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,252.49,98.2,-20.3,245.34,195.04,171.93,316.85,46.1
KOD,Kodiak Sciences Inc - Common Stock,45.37,98.1,-2.3,38.24,34.02,31.08,46.44,7.9
VNCE,Vince Holding Corp. - Common Stock,6.76,98.1,-14.1,6.1,4.18,3.9,7.87,1.42
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",6.34,98.0,0.0,4.4,3.71,3.37,6.34,1.81
PAYS,"Paysign, Inc. - Common Stock",12.48,98.0,0.0,8.28,6.02,5.84,12.48,3.18
ABSI,Absci Corporation - Common Stock,8.93,97.9,-23.1,8.44,5.14,4.74,11.62,2.3
TOP,TOP Financial Group Limited - Class A Ordinary Shares,11.29,97.9,-19.6,8.6,5.95,5.85,14.05,3.11
ARTV,"Artiva Biotherapeutics, Inc. - Common Stock",11.27,97.9,-15.8,9.28,7.58,6.67,13.39,2.28
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",60.46,97.8,-1.1,48.33,38.45,33.76,61.11,15.14
FTK,"Flotek Industries, Inc. Common Stock",35.42,97.8,-2.8,24.69,19.69,18.75,36.43,11.04
APGE,"Apogee Therapeutics, Inc. - Common Stock",134.84,97.8,0.0,118.09,90.89,84.92,134.84,34.65
BDSX,"Biodesix, Inc. - Common Stock",23.5,97.7,-4.1,19.52,15.05,13.13,24.5,5.46
PKOH,Park-Ohio Holdings Corp. - Common Stock,52.51,97.7,0.0,36.93,29.5,27.27,52.51,17.45
FRD,Friedman Industries Inc. - Common Stock,43.91,97.6,0.0,32.53,23.69,22.87,43.91,15.32
PSNL,"Personalis, Inc. - Common Stock",14.16,97.6,-10.3,12.35,9.24,9.15,15.79,4.5
