Ticker,Company,Price,RS_Rank,Pct_From_52W_High,MA50,MA150,MA200,52W_High,52W_Low
BANL,CBL International Limited - Class B Ordinary Shares,12.3,100.0,-9.2,3.1,1.35,1.13,13.55,0.29
CCG,Cheche Group Inc. - Class A Ordinary Shares,16.0,100.0,-5.9,6.44,2.64,2.21,17.01,0.37
BYND,"Beyond Meat, Inc. - Common stock",14.48,99.9,0.0,1.9,1.16,1.15,14.48,0.42
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",13.4,99.6,-13.3,11.53,7.38,6.12,15.45,1.39
CLYM,"Climb Bio, Inc. - Common Stock",17.02,99.6,-2.4,13.12,9.57,7.9,17.44,1.64
FBRX,"Forte Biosciences, Inc.  - Common Stock",76.89,99.5,-0.1,46.78,33.89,30.58,76.98,10.3
ANTX,"AN2 Therapeutics, Inc. - Common Stock",5.79,99.4,-7.8,5.08,3.76,3.11,6.28,1.03
BFLY,"Butterfly Network, Inc. Class A Common Stock",9.17,99.4,-5.5,7.72,5.37,4.82,9.7,1.39
TWST,Twist Bioscience Corporation - Common Stock,136.33,99.3,-4.3,97.35,67.1,58.27,142.39,24.16
ANRO,"Alto Neuroscience, Inc. Common Stock",34.25,99.3,-1.8,26.82,22.84,20.89,34.89,3.43
MRNA,"Moderna, Inc. - Common Stock",133.32,99.3,-23.5,65.62,54.61,48.13,174.38,22.36
TXG,"10x Genomics, Inc. - Common Stock",63.87,99.2,0.0,44.05,29.37,26.3,63.87,11.34
CHRN,ChronoScale Holdings Corporation - Common Stock,24.1,99.2,-18.7,21.71,15.08,12.69,29.63,3.1
ORKA,"Oruka Therapeutics, Inc. - Common Stock",104.86,99.2,-7.3,90.55,62.82,54.41,113.08,14.4
PRLD,Prelude Therapeutics Incorporated - Common Stock,6.5,99.1,0.0,4.65,3.84,3.37,6.5,0.89
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",39.66,99.1,0.0,19.56,16.41,15.56,39.66,7.82
MU,"Micron Technology, Inc. - Common Stock",974.33,99.1,-19.7,963.04,669.41,567.29,1213.37,115.6
STTK,"Shattuck Labs, Inc. - Common Stock",7.25,99.0,-8.5,6.56,5.94,5.16,7.92,0.89
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",8.99,99.0,0.0,4.95,3.99,3.6,8.99,1.81
SYRE,"Spyre Therapeutics, Inc. - Common Stock",107.79,99.0,-1.0,96.33,67.61,58.06,108.92,14.82
NVCT,"Nuvectis Pharma, Inc. - Common Stock",23.35,98.9,-18.2,18.83,12.26,10.94,28.53,5.65
LITE,Lumentum Holdings Inc. - Common Stock,879.28,98.9,-16.5,814.14,760.6,649.28,1053.09,115.89
RLAY,"Relay Therapeutics, Inc. - Common Stock",19.7,98.8,-5.1,18.51,13.74,12.2,20.75,3.4
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",59.91,98.8,-5.5,41.15,28.76,25.74,63.43,14.35
QMCO,Quantum Corporation - Common Stock,20.49,98.8,-21.5,13.47,9.21,8.85,26.11,4.31
ABSI,Absci Corporation - Common Stock,9.28,98.7,-20.1,8.95,5.48,4.96,11.62,2.3
RVMD,"Revolution Medicines, Inc. - Common Stock",211.74,98.7,-2.0,184.58,141.08,125.18,216.0,35.67
PAYS,"Paysign, Inc. - Common Stock",13.82,98.7,0.0,9.37,6.52,6.18,13.82,3.18
DELL,Dell Technologies Inc. Class C Common Stock ,434.78,98.7,-12.1,426.2,269.86,234.97,494.51,110.54
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,7.5,98.7,-5.8,5.76,4.03,3.62,7.96,1.47
CDNA,"CareDx, Inc. - Common Stock",46.99,98.6,-1.8,34.68,24.7,23.02,47.85,11.57
BLZE,"Backblaze, Inc. - Common Stock",16.24,98.6,-20.5,14.44,8.11,7.37,20.43,3.31
YARW,"Yarrow Bioscience, Inc. - Common Stock",38.2,98.6,-10.7,26.25,20.34,18.37,42.77,8.1
SAIH,SAIHEAT Limited - Class A Ordinary Shares,22.7,98.5,0.0,15.11,11.05,10.39,22.7,5.65
DMRA,"Damora Therapeutics, Inc. - Ordinary Shares",30.31,98.5,-11.2,27.71,26.33,25.17,34.14,2.58
