Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,115,348,-2.2,"NUVL, OBA, ORIQ, SRXH, MRX"
Financial Services,58,259,-2.6,"PACH, BACC, CAPN, LPBB, MACI"
Healthcare,24,65,-1.8,"MIRM, NGNE, CLYM, PHVS, TBRG"
Real Estate,9,50,-2.4,"BNL, FR, LAMR, HR, EPR"
Technology,7,16,-1.9,"PENG, CNXN, NET, ANET, ACIW"
Industrials,7,31,-2.8,"POWW, GTLS, CSX, TBI, GD"
Energy,5,12,-2.1,"TRGP, PBF, PSX, DK, WKC"
Consumer Cyclical,5,16,-2.3,"RSI, SGHC, BZH, UFI, TMHC"
Consumer Defensive,2,14,-3.0,"LAUR, KO, ACU, FMX, STRA"
Communication Services,2,14,-2.5,"PSO, EA, BATRA, LLYVA, LLYVK"
Basic Materials,2,5,-2.0,"KOP, ODC, CTVA, LIN, SXT"
Utilities,1,19,-2.5,"NJR, EIX, AWR, PNW, OGE"
