Ticker,Price,52W_High,Pct_From_52W_High,Sector
AFRI,11.3,11.3,0.0,Unknown
YCY,10.27,10.27,0.0,Unknown
TISI,24.75,24.75,0.0,Unknown
ZETA,31.56,31.56,0.0,Unknown
DE,676.08,676.08,0.0,Industrials
APGE,135.08,135.08,0.0,Healthcare
SM,38.04,38.04,0.0,Energy
ALDF,10.8,10.8,0.0,Unknown
CVI,42.87,42.87,0.0,Unknown
CVX,211.05,211.05,0.0,Unknown
DINO,103.97,103.97,0.0,Unknown
DHX,4.47,4.47,0.0,Technology
RDVT,75.56,75.56,0.0,Unknown
CVE,33.13,33.13,0.0,Unknown
KFII,10.65,10.65,0.0,Financial Services
PSX,252.02,252.02,0.0,Energy
CRNX,84.95,84.95,0.0,Unknown
CPBI,21.05,21.05,0.0,Financial Services
DMAA,10.76,10.76,-0.0,Unknown
CRGY,14.07,14.07,0.0,Unknown
VIR,11.63,11.63,0.0,Unknown
UYSC,10.99,10.99,0.0,Unknown
COPL,10.52,10.52,0.0,Financial Services
COP,136.19,136.19,0.0,Unknown
GTERA,10.42,10.42,0.0,Unknown
LATA,10.18,10.18,0.0,Financial Services
RAC,10.55,10.55,0.0,Financial Services
MAGH,6.76,6.76,0.0,Unknown
RNG,70.77,70.77,0.0,Unknown
PAII,10.29,10.29,0.0,Unknown
XHLD,9.42,9.42,0.0,Unknown
WTG,10.58,10.58,0.0,Unknown
HP,46.21,46.21,0.0,Unknown
OBA,10.31,10.31,0.0,Unknown
HTGC,17.67,17.67,0.0,Financial Services
HPQ,31.32,31.32,0.0,Technology
HRMY,41.25,41.25,0.0,Unknown
HTFL,50.43,50.43,0.0,Unknown
MGYR,19.68,19.68,0.0,Financial Services
RNXT,2.11,2.11,0.0,Unknown
PLSE,52.09,52.09,0.0,Unknown
CNQ,51.81,51.81,0.0,Unknown
PBFS,18.02,18.02,0.0,Unknown
SENEA,204.04,204.04,0.0,Consumer Defensive
PLTS,17.5,17.5,0.0,Unknown
MWYN,1.37,1.37,0.0,Unknown
SDHI,10.51,10.51,0.0,Financial Services
SLNG,6.59,6.59,0.0,Unknown
MPC,383.0,383.0,0.0,Unknown
MSI,491.24,491.24,0.0,Technology
KOYN,10.23,10.24,-0.0,Unknown
PXS,6.23,6.23,0.0,Unknown
PTEN,12.79,12.79,0.0,Unknown
LPBB,10.81,10.81,0.0,Financial Services
FSHP,11.54,11.54,0.0,Financial Services
FRNM,15.25,15.25,0.0,Unknown
CHAR,10.95,10.95,0.0,Financial Services
FACT,10.7,10.7,0.0,Unknown
SB,8.75,8.75,0.0,Industrials
SMC,34.96,34.96,0.0,Energy
VLO,361.99,361.99,0.0,Unknown
CLMT,51.52,51.52,0.0,Unknown
CCAQ,10.55,10.55,0.0,Financial Services
BLZR,10.21,10.21,0.0,Unknown
CHRD,150.41,150.41,0.0,Unknown
CIX,33.0,33.0,0.0,Industrials
DRDB,10.66,10.66,0.0,Financial Services
VNME,10.28,10.28,0.0,Financial Services
EGHA,10.4,10.4,0.0,Financial Services
CAPN,11.25,11.25,0.0,Financial Services
JACS,10.75,10.75,0.0,Financial Services
JENA,10.47,10.47,0.0,Financial Services
GTE,10.34,10.34,0.0,Unknown
QUMS,10.33,10.33,0.0,Unknown
RCBC,51.37,51.37,0.0,Financial Services
RDAG,10.4,10.4,0.0,Financial Services
SOUL,10.48,10.48,0.0,Unknown
EPD,39.28,39.28,0.0,Unknown
ECO,67.96,67.96,0.0,Industrials
NMP,10.34,10.34,0.0,Unknown
HLX,10.6,10.6,0.0,Energy
OMH,3.33,3.33,0.0,Unknown
KCHV,10.44,10.44,0.0,Unknown
TLF,2.65,2.65,0.0,Unknown
ACU,62.9,62.9,0.0,Consumer Defensive
ACA,145.48,145.49,-0.0,Unknown
ZYME,29.67,29.67,0.0,Unknown
RPRX,62.32,62.32,0.0,Unknown
OYSE,10.4,10.4,0.0,Unknown
MCTA,29.35,29.35,0.0,Healthcare
VZ,50.3,50.3,0.0,Communication Services
CHEF,115.52,115.52,0.0,Unknown
SVCC,10.67,10.67,0.0,Financial Services
SZZL,10.46,10.46,0.0,Unknown
HCWC,7.44,7.44,0.0,Unknown
NXL,6.8,6.8,0.0,Unknown
ORIQ,10.4,10.4,0.0,Unknown
EVAC,10.3,10.3,0.0,Unknown
NMR,10.17,10.18,-0.1,Unknown
KNTK,55.03,55.1,-0.1,Unknown
PACH,10.31,10.32,-0.1,Financial Services
SHEL,93.51,93.65,-0.1,Unknown
EOLS,9.08,9.09,-0.1,Healthcare
WENN,10.38,10.39,-0.1,Financial Services
GIW,10.16,10.17,-0.1,Unknown
LWAC,10.34,10.35,-0.1,Financial Services
GSHR,10.54,10.55,-0.1,Unknown
PFE,28.55,28.57,-0.1,Healthcare
DAAQ,10.43,10.44,-0.1,Unknown
OGN,13.76,13.77,-0.1,Healthcare
ATKR,93.63,93.69,-0.1,Industrials
BLUW,10.37,10.38,-0.1,Financial Services
FSEA,17.18,17.19,-0.1,Financial Services
GTEN,10.68,10.7,-0.2,Financial Services
APA,44.3,44.39,-0.2,Unknown
RCMT,41.92,42.0,-0.2,Unknown
NPAC,10.47,10.49,-0.2,Financial Services
TVAI,10.38,10.4,-0.2,Unknown
CHCI,19.84,19.87,-0.2,Unknown
CRAQ,10.36,10.38,-0.2,Unknown
LKSP,10.2,10.22,-0.2,Unknown
MBVI,10.21,10.23,-0.2,Unknown
MKLY,10.24,10.26,-0.2,Financial Services
TACH,10.49,10.52,-0.2,Unknown
SPEG,10.37,10.39,-0.2,Unknown
QNBC,45.0,45.1,-0.2,Unknown
PROV,18.31,18.34,-0.2,Financial Services
TDAC,10.85,10.87,-0.2,Unknown
INSW,99.76,99.95,-0.2,Energy
PBAM,88.5,88.7,-0.2,Unknown
CFFI,91.41,91.59,-0.2,Financial Services
MRX,72.62,72.84,-0.3,Unknown
PBF,74.99,75.2,-0.3,Energy
PR,23.79,23.87,-0.3,Energy
OPY,119.61,120.0,-0.3,Financial Services
SBFG,27.79,27.87,-0.3,Financial Services
CLST,17.75,17.81,-0.3,Financial Services
UTZ,14.21,14.25,-0.3,Unknown
FDSB,18.4,18.45,-0.3,Unknown
CHMI,2.93,2.94,-0.3,Real Estate
SJM,131.42,131.84,-0.3,Unknown
FRO,44.32,44.45,-0.3,Unknown
YHNA,11.03,11.06,-0.3,Financial Services
HSTM,29.67,29.76,-0.3,Healthcare
BANL,15.2,15.24,-0.3,Unknown
FERA,10.51,10.54,-0.3,Financial Services
CAH,239.35,240.26,-0.4,Healthcare
TDW,96.11,96.49,-0.4,Energy
CMBT,18.27,18.35,-0.4,Unknown
EXEL,56.89,57.1,-0.4,Healthcare
NSTS,13.99,14.04,-0.4,Financial Services
MACI,10.95,10.99,-0.4,Financial Services
CUB,10.87,10.91,-0.4,Financial Services
CEPO,10.76,10.8,-0.4,Financial Services
CHEC,10.23,10.27,-0.4,Unknown
XRPN,10.51,10.55,-0.4,Financial Services
TECH,72.18,72.47,-0.4,Unknown
INAC,10.31,10.35,-0.4,Unknown
RANG,10.76,10.8,-0.4,Financial Services
DTSQ,11.36,11.4,-0.4,Unknown
SU,68.99,69.27,-0.4,Energy
PGAC,10.69,10.74,-0.5,Unknown
RAMP,37.82,38.01,-0.5,Technology
QSEA,10.61,10.66,-0.5,Unknown
ALF,10.89,10.95,-0.5,Financial Services
CF,135.6,136.34,-0.5,Unknown
LNG,294.13,295.58,-0.5,Unknown
PAYC,237.95,239.1,-0.5,Unknown
GBTG,9.46,9.51,-0.5,Consumer Cyclical
VOYA,101.05,101.54,-0.5,Financial Services
ITGR,125.39,126.07,-0.5,Unknown
SSEA,10.3,10.35,-0.5,Unknown
ARTNA,35.67,35.89,-0.6,Unknown
