Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,211,386,-1.4,"ZGN, AAPL, ACGL, WAB, VSXY"
Financial Services,182,302,-1.2,"ACNB, ACT, ASRV, TRV, TMP"
Consumer Cyclical,25,47,-1.6,"YETI, ABNB, SON, PAG, MGA"
Industrials,22,50,-1.9,"UHAL, TRN, SWK, SNA, RYZ"
Real Estate,21,51,-1.8,"SPG, SKT, PSA, NREF, MAC"
Healthcare,21,44,-1.6,"SOLV, BRKR, BLFS, DYN, DVA"
Technology,11,20,-1.7,"ACIW, RSKD, CNXN, FTV, DBD"
Communication Services,8,19,-2.1,"OMC, CNK, RSVR, IDT, EA"
Consumer Defensive,7,14,-1.5,"TGT, SPB, CCEP, PFGC, KO"
Basic Materials,4,9,-2.0,"RS, NUE, GGB, CTVA, SXT"
Energy,2,6,-2.2,"INSW, WKC, NAT, PSX, TRP"
Utilities,2,21,-2.8,"NJR, EIX, OGE, WTRG, AWR"
