Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,101,228,-1.9,"WTG, CDNA, ACA, CBAT, RNG"
Financial Services,44,119,-2.3,"XRPN, CCAQ, EGHA, CHAR, SBXD"
Technology,17,24,-1.1,"RBRK, RSKD, AVT, CNXN, FTNT"
Healthcare,12,31,-2.0,"WST, A, BIIB, BLFS, AGEN"
Industrials,8,23,-2.5,"XMTR, ATKR, HMR, HQI, DE"
Consumer Cyclical,6,8,-0.7,"VNCE, JRSH, HBB, JILL, HZO"
Communication Services,5,10,-2.1,"BATRA, TJGC, WBD, BATRK, DV"
Real Estate,1,2,-2.0,"LXP, IHS"
Consumer Defensive,0,3,-3.3,"ACU, KO, SPB"
Utilities,0,3,-2.9,"TXNM, GNE, WTRG"
