Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,208,444,-1.6,"ABSI, ACGL, VMO, VKQ, MGTX"
Financial Services,119,324,-1.5,"VOYA, LWAC, BACC, TRV, RAC"
Healthcare,40,68,-1.3,"MIRM, LIVN, APGE, OGN, OSCR"
Real Estate,34,55,-1.2,"TRNO, PSA, OLP, PDM, LXP"
Industrials,18,44,-2.2,"SNA, MAS, HEI, EXPD, GD"
Utilities,14,22,-1.4,"LNT, PNW, IDA, EVRG, AWR"
Communication Services,10,17,-1.2,"LLYVA, LLYVK, BATRA, BATRK, PSO"
Consumer Cyclical,9,31,-2.1,"ABNB, SON, RSI, SGHC, OLPX"
Consumer Defensive,8,15,-1.5,"MNST, PFGC, KO, LAUR, JBSS"
Technology,5,16,-1.9,"FLYW, ACIW, FTV, RAMP, SLAB"
Basic Materials,4,6,-1.0,"LIN, SXT, KOP, CTVA, ODC"
Energy,2,3,-2.0,"WKC, DK, DTM"
