Ticker,Price,52W_High,Pct_From_52W_High,Sector
ADPT,21.4,21.4,0.0,Unknown
XPER,8.25,8.25,0.0,Technology
XRN,37.56,37.56,0.0,Unknown
WHG,20.15,20.15,0.0,Unknown
WLYB,47.04,47.04,0.0,Unknown
GE,373.71,373.71,0.0,Unknown
GFF,96.38,96.42,-0.0,Industrials
WSM,240.17,240.17,0.0,Unknown
WST,354.68,354.68,0.0,Healthcare
GUT,6.6,6.6,0.0,Financial Services
GL,179.25,179.31,-0.0,Financial Services
GLW,255.69,255.69,0.0,Technology
GNW,9.52,9.52,0.0,Financial Services
HBB,21.74,21.74,0.0,Consumer Cyclical
HMN,52.06,52.06,0.0,Unknown
HNGE,81.48,81.48,0.0,Unknown
GTLS,208.88,208.98,-0.0,Industrials
BSET,18.24,18.24,0.0,Unknown
BLZE,14.97,14.97,0.0,Unknown
ASTH,45.03,45.03,0.0,Healthcare
BWB,21.07,21.07,0.0,Financial Services
BWFG,59.81,59.81,0.0,Unknown
CACC,638.23,638.23,0.0,Unknown
CADL,10.36,10.36,0.0,Healthcare
AVBP,34.37,34.37,0.0,Healthcare
APPS,12.91,12.91,0.0,Unknown
AROW,41.13,41.13,0.0,Financial Services
BBCP,11.86,11.86,0.0,Industrials
BBGI,26.51,26.51,0.0,Unknown
BCAL,20.87,20.87,0.0,Financial Services
BCAX,29.34,29.34,0.0,Healthcare
BCML,32.7,32.7,0.0,Financial Services
ATEX,98.24,98.24,0.0,Unknown
ETSY,79.66,79.66,0.0,Consumer Cyclical
EVC,13.48,13.48,0.0,Communication Services
EVN,11.15,11.15,0.0,Unknown
EW,91.18,91.18,0.0,Healthcare
FOR,31.98,31.98,0.0,Real Estate
FC,25.55,25.55,0.0,Consumer Defensive
FVR,20.31,20.31,0.0,Real Estate
FITB,56.78,56.78,0.0,Financial Services
FMX,131.2,131.2,0.0,Consumer Defensive
DVA,219.7,219.7,0.0,Healthcare
DEA,25.16,25.16,0.0,Real Estate
DGX,212.64,212.64,0.0,Unknown
DK,51.58,51.58,0.0,Energy
DOC,21.87,21.87,0.0,Real Estate
CCIX,10.9,10.9,0.0,Financial Services
CCSI,38.26,38.26,0.0,Technology
CDNA,29.28,29.28,0.0,Unknown
CLBK,21.03,21.03,0.0,Financial Services
CLDX,37.44,37.44,0.0,Unknown
CGNX,68.36,68.36,0.0,Technology
CINF,186.16,186.16,0.0,Financial Services
BHRB,71.97,71.97,0.0,Financial Services
BIIB,216.63,216.63,0.0,Healthcare
BIOA,24.95,24.95,0.0,Unknown
EG,360.79,360.79,0.0,Unknown
EIG,51.19,51.19,0.0,Unknown
ELA,28.62,28.62,0.0,Unknown
ELMD,42.23,42.23,0.0,Healthcare
HUM,388.9,388.9,0.0,Unknown
ENVA,235.67,235.67,0.0,Unknown
EPC,27.78,27.78,0.0,Unknown
ESS,295.93,295.93,0.0,Real Estate
IIPR,63.26,63.26,0.0,Real Estate
HTB,49.42,49.42,0.0,Unknown
IQI,10.1,10.1,0.0,Unknown
IVT,36.25,36.25,0.0,Real Estate
JENA,10.41,10.41,0.0,Financial Services
CRAQ,10.29,10.29,0.0,Unknown
CLYM,13.36,13.36,0.0,Healthcare
COFS,33.86,33.86,0.0,Financial Services
CYTK,87.26,87.26,0.0,Unknown
CPBI,18.99,18.99,0.0,Financial Services
CPIX,6.84,6.84,0.0,Unknown
DAVE,371.62,371.62,0.0,Unknown
DGII,73.23,73.23,0.0,Technology
CSX,48.01,48.01,0.0,Industrials
COLD,16.11,16.11,0.0,Unknown
JNJ,258.51,258.51,0.0,Unknown
CUZ,30.15,30.15,0.0,Real Estate
CPT,116.74,116.74,0.0,Unknown
CRS,607.03,607.03,0.0,Unknown
DAL,93.17,93.17,0.0,Unknown
DCO,184.42,184.42,0.0,Industrials
CTO,21.93,21.93,0.0,Real Estate
BY,37.61,37.61,0.0,Financial Services
CVU,5.3,5.3,0.0,Industrials
BZH,29.26,29.26,0.0,Consumer Cyclical
CB,343.29,343.29,0.0,Unknown
CHCT,18.49,18.49,0.0,Real Estate
CBNA,40.47,40.47,0.0,Unknown
LLY,1229.93,1229.93,0.0,Unknown
LTH,41.3,41.3,0.0,Unknown
KOP,45.36,45.36,0.0,Basic Materials
MEI,19.42,19.42,0.0,Unknown
LYV,182.56,182.56,0.0,Communication Services
MAS,80.5,80.5,0.0,Industrials
L,113.69,113.69,0.0,Financial Services
LEO,6.49,6.49,0.0,Financial Services
ESOA,19.11,19.11,0.0,Unknown
ESQ,118.75,118.75,0.0,Financial Services
ETON,36.73,36.73,0.0,Unknown
EXTR,31.98,31.98,0.0,Technology
SPG,227.56,227.56,0.0,Real Estate
SPHR,172.34,172.34,0.0,Unknown
SN,146.38,146.38,0.0,Unknown
SNDA,39.67,39.67,0.0,Unknown
STRW,13.6,13.6,0.0,Unknown
SWK,93.65,93.65,0.0,Industrials
SXI,355.03,355.03,0.0,Unknown
SOUL,10.36,10.36,0.0,Unknown
TDAY,8.65,8.65,0.0,Communication Services
AWR,82.79,82.79,0.0,Utilities
AXS,108.84,108.84,0.0,Financial Services
MD,24.69,24.69,0.0,Healthcare
MEC,37.54,37.54,0.0,Unknown
BFH,108.73,108.73,0.0,Unknown
BFLY,8.91,8.91,0.0,Unknown
BB,12.48,12.48,0.0,Unknown
AUB,42.27,42.27,0.0,Financial Services
BMO,176.08,176.08,0.0,Unknown
BDL,46.97,46.97,0.0,Unknown
AIZ,267.98,267.98,0.0,Financial Services
ALL,241.38,241.38,0.0,Financial Services
ALLY,47.25,47.25,0.0,Financial Services
AGX,791.56,791.56,0.0,Industrials
ALX,281.55,281.55,0.0,Real Estate
ANRO,28.07,28.07,0.0,Unknown
APH,166.42,166.42,0.0,Technology
AHRT,7.18,7.18,0.0,Real Estate
WEYS,39.14,39.14,0.0,Unknown
WRLD,223.72,223.72,0.0,Financial Services
ARL,23.44,23.44,0.0,Unknown
ARMK,56.23,56.23,0.0,Industrials
ASIC,24.56,24.56,0.0,Unknown
ATEN,36.33,36.33,0.0,Unknown
