Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,110,247,-1.9,"YCY, WAT, UTZ, SBH, RNG"
Financial Services,41,144,-2.5,"BOW, XRPN, WENN, SVCC, EGHA"
Healthcare,17,30,-1.4,"RVTY, BLFS, IQV, A, RGEN"
Technology,14,25,-1.4,"RSKD, AUDC, P, NET, QMCO"
Consumer Cyclical,5,9,-1.4,"HBB, VNCE, HZO, GBTG, JRSH"
Communication Services,4,11,-2.1,"BATRK, BATRA, WBD, TJGC, DV"
Industrials,3,20,-2.7,"MG, ATKR, HQI, CYRX, GIC"
Basic Materials,1,1,0.0,MNTK
Consumer Defensive,1,2,-2.2,"ACU, KO"
Real Estate,1,2,-2.0,"LXP, IHS"
Energy,0,1,-4.5,SU
Utilities,0,2,-2.5,"TXNM, GNE"
