Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,129,293,-1.8,"RNGT, BLZR, BPRN, BSIN, BWIN"
Financial Services,80,224,-2.0,"SLDE, RCBC, RDAG, RANG, SVCC"
Healthcare,13,34,-1.9,"PHVS, OSCR, UTMD, MCTA, AMWL"
Technology,9,17,-1.7,"SAIC, OST, KARO, DHX, NET"
Industrials,8,20,-2.0,"OPTT, ETS, CIX, ECO, EXPD"
Energy,8,17,-1.8,"SM, NAT, PBT, LPG, INSW"
Communication Services,5,11,-1.7,"TJGC, IDT, ZD, DV, VZ"
Consumer Cyclical,2,12,-2.6,"HZO, GBTG, JILL, PAG, CZR"
Utilities,2,6,-2.3,"GNE, WTRG, AWK, TXNM, AWR"
Real Estate,1,4,-2.8,"LXP, CHMI, IHS, PSTL"
Consumer Defensive,0,2,-3.9,"KO, STRA"
Basic Materials,0,2,-3.6,"VHI, MEOH"
