Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,170,437,-2.0,"ALDF, AMGN, AMCX, SSEA, SPEG"
Financial Services,75,243,-2.2,"SVCC, SLDE, TWFG, CEPO, CAPN"
Healthcare,22,57,-1.9,"SRRK, OGN, RGEN, RAPP, EOLS"
Industrials,14,36,-1.9,"SB, NSC, ECO, GIC, OESX"
Consumer Cyclical,11,27,-2.0,"ABNB, CART, EXPE, FIVE, FNKO"
Communication Services,9,18,-1.4,"OMC, NWS, VZ, CNK, IDT"
Technology,7,15,-1.5,"USIO, MLAB, FLYW, MSI, RAMP"
Real Estate,7,26,-2.6,"SELF, LXP, UMH, CHMI, EFC"
Energy,6,16,-2.0,"PBT, LPG, INSW, NAT, PSX"
Basic Materials,5,6,-0.8,"FCX, SXT, VHI, MAKO, SXC"
Utilities,3,11,-2.3,"YORW, AWR, WTRG, AWK, MSEX"
Consumer Defensive,2,10,-2.4,"KO, TGT, CCEP, ACU, CHD"
