Ticker,Price,52W_High,Pct_From_52W_High,Sector
VIRT,63.41,63.41,0.0,Unknown
ACNB,58.29,58.29,0.0,Financial Services
AFBI,22.54,22.54,0.0,Unknown
SEPN,36.57,36.57,0.0,Unknown
SFNC,22.48,22.48,0.0,Financial Services
SIGI,94.4,94.4,0.0,Financial Services
SLDB,8.79,8.79,0.0,Healthcare
RFAI,11.03,11.03,0.0,Unknown
RIOT,28.69,28.69,0.0,Financial Services
WNC,12.6,12.6,0.0,Industrials
WLYB,45.32,45.32,0.0,Unknown
WKC,31.94,31.94,0.0,Energy
AMAL,45.35,45.35,0.0,Financial Services
ALRS,30.38,30.38,0.0,Financial Services
ALKS,48.07,48.07,0.0,Unknown
ALDF,10.68,10.68,0.0,Unknown
ASB,29.88,29.88,0.0,Financial Services
AMTB,24.28,24.28,0.0,Financial Services
MGNX,4.69,4.69,0.0,Healthcare
MCBS,34.81,34.81,0.0,Financial Services
MBX,46.39,46.39,0.0,Healthcare
MAMA,18.91,18.91,0.0,Unknown
MAGH,6.76,6.76,0.0,Unknown
MAAS,21.24,21.24,0.0,Unknown
ALL,231.55,231.55,0.0,Financial Services
BVFL,21.11,21.11,0.0,Unknown
BUSE,28.88,28.88,0.0,Financial Services
RCUS,28.18,28.18,0.0,Unknown
RAL,69.22,69.22,0.0,Technology
STT,173.73,173.73,0.0,Financial Services
STRW,13.57,13.57,0.0,Unknown
BPOP,165.06,165.06,0.0,Financial Services
BOLD,2.6,2.6,0.0,Unknown
BMGL,6.93,6.93,0.0,Unknown
BLZE,11.66,11.66,0.0,Unknown
SPHR,158.2,158.2,0.0,Unknown
SOUL,10.35,10.35,-0.0,Unknown
SNX,290.14,290.14,0.0,Unknown
SMBK,45.74,45.74,0.0,Financial Services
SILA,30.33,30.34,-0.0,Unknown
SI,19.29,19.29,0.0,Unknown
RBB,25.85,25.85,0.0,Financial Services
QSEA,10.52,10.52,0.0,Unknown
QETA,11.98,11.98,0.0,Financial Services
PTGX,118.96,118.96,0.0,Unknown
PSMT,185.66,185.66,0.0,Consumer Defensive
PSIG,11.8,11.8,0.0,Unknown
POWW,2.25,2.25,0.0,Industrials
SWBI,16.67,16.67,0.0,Unknown
SVA,6.47,6.47,0.0,Unknown
RNST,42.75,42.75,0.0,Financial Services
CARE,32.33,32.33,0.0,Unknown
CACC,589.97,589.97,0.0,Unknown
CAC,52.78,52.78,0.0,Financial Services
BWFG,57.52,57.52,0.0,Unknown
BWB,20.44,20.44,0.0,Financial Services
OBK,50.44,50.44,0.0,Financial Services
PRSU,52.18,52.18,0.0,Unknown
CENT,43.29,43.29,0.0,Unknown
CCNE,33.06,33.06,0.0,Financial Services
CCBG,48.07,48.07,0.0,Unknown
CASS,49.82,49.82,0.0,Unknown
PRI,283.72,283.72,0.0,Financial Services
PNW,104.05,104.05,0.0,Utilities
PFG,112.36,112.36,0.0,Financial Services
PEBO,37.3,37.3,0.0,Financial Services
PDLB,19.67,19.67,0.0,Financial Services
TBRG,26.13,26.13,0.0,Healthcare
SZZL,10.37,10.37,0.0,Unknown
PLBC,57.5,57.5,0.0,Financial Services
PKBK,32.62,32.62,0.0,Financial Services
PGAC,10.64,10.64,0.0,Unknown
PFIS,64.24,64.24,0.0,Financial Services
CLYM,12.3,12.3,0.0,Healthcare
CIVB,27.42,27.42,0.0,Financial Services
CINF,175.81,175.81,0.0,Financial Services
CHRN,25.82,25.82,0.0,Unknown
CHMG,73.6,73.6,0.0,Financial Services
CGEM,17.75,17.75,0.0,Unknown
CFFN,8.29,8.29,0.0,Financial Services
OSCR,29.93,29.93,0.0,Healthcare
OLP,24.65,24.65,0.0,Real Estate
MCB,97.06,97.06,0.0,Financial Services
LZB,40.3,40.3,0.0,Consumer Cyclical
NGS,44.13,44.13,0.0,Energy
NBHC,44.01,44.01,0.0,Financial Services
NAT,6.46,6.46,0.0,Energy
CWBC,25.74,25.75,-0.0,Financial Services
