Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,203,427,-1.6,"ABUS, WBS, WHG, UBS, ALKS"
Financial Services,149,330,-1.5,"WTFC, VNME, BACC, WSBC, VCTR"
Healthcare,30,69,-1.7,"XOMA, ALHC, BFRI, TBRG, SRRK"
Real Estate,18,57,-2.0,"TRNO, EGP, PDM, NLY, LAMR"
Industrials,16,49,-2.0,"VSEC, USEA, TBI, SNA, POWW"
Consumer Cyclical,9,23,-1.9,"SGHC, RSI, OLPX, TMHC, PAG"
Technology,7,22,-2.0,"PANW, FTV, FTNT, ACIW, CREX"
Consumer Defensive,5,14,-1.9,"PFGC, LAUR, MNST, GHC, FMX"
Communication Services,4,15,-2.2,"ZD, EA, PSO, ROKU, BATRK"
Basic Materials,3,5,-0.7,"SXT, CTVA, KOP, LIN, ODC"
Energy,2,6,-3.1,"DK, WKC, PBF, DTM, TRP"
Utilities,0,19,-2.7,"EIX, AWR, WEC, LNT, AEP"
