Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,191,417,-1.7,"AIRT, ADPT, WTG, ACA, GE"
Financial Services,162,302,-1.4,"ATLO, FHN, WSBF, WENN, SFST"
Industrials,27,50,-1.4,"GIC, GFF, USEA, HWM, SWK"
Consumer Cyclical,20,40,-1.5,"BZH, ROST, EXPE, PKG, ESCA"
Healthcare,17,37,-1.7,"ACRS, BFRI, BIO, DYN, OGN"
Technology,11,32,-2.0,"KARO, ANET, AVT, FIVN, RAMP"
Basic Materials,6,9,-1.1,"GGB, RS, SXC, NUE, SXT"
Real Estate,4,29,-3.0,"SKYH, JLL, LXP, PSA, IRT"
Energy,3,5,-1.8,"FTK, PBT, WTTR, WKC, PSX"
Communication Services,3,12,-2.7,"ROKU, CNK, NEXN, GSAT, LYV"
Consumer Defensive,1,10,-2.2,"SPB, TGT, CHD, BUD, GHC"
Utilities,0,4,-3.9,"TXNM, ENIC, WTRG, AWR"
